episode,max_tile,score,avg_max_log_500,rate_2048_500,rate_4096_500,eps_per_sec
200,512,6812,8.165,0.0000,0.0000,319.3
400,256,3504,8.470,0.0000,0.0000,256.5
600,512,5396,8.804,0.0000,0.0000,212.7
800,512,9180,9.048,0.0040,0.0000,205.1
1000,1024,15824,9.162,0.0140,0.0000,200.6
1200,512,6768,9.256,0.0200,0.0000,195.1
1400,512,8844,9.374,0.0240,0.0000,186.1
1600,512,7948,9.438,0.0220,0.0000,183.2
1800,1024,11460,9.466,0.0320,0.0000,178.7
2000,512,8828,9.514,0.0440,0.0000,175.4
2200,512,7212,9.530,0.0440,0.0000,173.0
2400,2048,25204,9.596,0.0460,0.0000,169.6
2600,1024,16484,9.616,0.0420,0.0000,167.1
2800,512,6216,9.608,0.0440,0.0000,164.3
3000,512,9292,9.612,0.0600,0.0000,162.7
3200,1024,13448,9.636,0.0660,0.0000,161.1
3400,1024,16216,9.664,0.0640,0.0000,159.6
3600,1024,18520,9.744,0.0880,0.0000,157.8
3800,1024,16416,9.740,0.1060,0.0000,156.0
4000,2048,27400,9.706,0.1100,0.0000,150.5
4200,1024,17448,9.766,0.1080,0.0000,145.5
4400,1024,16900,9.792,0.0860,0.0000,142.7
4600,1024,12564,9.838,0.0960,0.0000,140.8
4800,2048,23832,9.832,0.1100,0.0000,139.8
5000,1024,14040,9.784,0.1060,0.0000,138.4
5200,512,6684,9.784,0.1120,0.0000,137.9
5400,2048,29236,9.830,0.1240,0.0000,137.4
5600,1024,14228,9.860,0.1560,0.0000,137.0
5800,512,9832,9.924,0.1780,0.0000,135.9
6000,2048,25392,9.950,0.1840,0.0000,134.4
6200,512,9452,9.906,0.1740,0.0000,133.3
6400,1024,19124,9.932,0.2000,0.0000,132.1
6600,1024,20812,9.990,0.2420,0.0000,131.1
6800,512,9584,10.028,0.2560,0.0020,130.4
7000,1024,17592,10.072,0.2780,0.0040,129.7
7200,1024,25788,10.080,0.2660,0.0100,128.9
7400,512,11024,10.076,0.2660,0.0120,128.2
7600,2048,30392,10.114,0.2820,0.0120,127.3
7800,1024,15912,10.132,0.3040,0.0080,126.6
8000,1024,22476,10.156,0.3160,0.0120,125.8
8200,1024,16016,10.110,0.2980,0.0080,125.3
8400,2048,34280,10.144,0.3000,0.0080,124.6
8600,1024,18556,10.240,0.3540,0.0140,123.5
8800,2048,36900,10.264,0.3820,0.0180,122.1
9000,1024,18044,10.268,0.3980,0.0120,120.6
9200,1024,14084,10.260,0.3860,0.0160,119.7
9400,1024,23536,10.300,0.3960,0.0220,118.8
9600,1024,17356,10.334,0.4220,0.0300,117.7
9800,1024,18036,10.382,0.4500,0.0320,116.5
10000,1024,12272,10.334,0.4320,0.0240,114.7
10200,2048,43844,10.344,0.4400,0.0240,110.0
10400,2048,27700,10.436,0.5020,0.0340,108.7
10600,2048,45324,10.440,0.5020,0.0420,108.0
10800,2048,37476,10.442,0.4760,0.0560,107.3
11000,2048,33580,10.424,0.4660,0.0600,106.1
11200,1024,18948,10.438,0.4880,0.0540,104.9
11400,2048,22892,10.514,0.5320,0.0520,103.9
11600,4096,51244,10.512,0.5340,0.0580,102.6
11800,1024,21600,10.474,0.5140,0.0580,101.5
12000,2048,36520,10.470,0.5260,0.0420,100.5
12200,1024,13924,10.512,0.5640,0.0440,99.9
12400,2048,35420,10.496,0.5420,0.0500,99.4
12600,2048,38552,10.514,0.5560,0.0600,98.6
